# Distance = 7.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.60	16.00	3.53	6.22	12.58	0.00	15.42	30.21	0.00
0.73	16.60	4.83	7.36	14.19	0.00	15.06	27.59	0.00
0.85	18.60	2.50	8.38	15.28	0.00	14.73	27.05	0.00
0.98	20.00	7.58	9.44	17.01	0.00	14.37	25.62	0.00
1.07	21.40	4.03	10.15	18.02	0.00	14.11	24.14	0.00
1.54	28.90	2.74	13.62	22.43	0.00	12.80	17.15	0.00
2.02	32.90	2.65	16.79	24.89	0.00	11.31	11.73	0.00
2.49	35.20	2.88	19.26	25.80	0.00	9.69	7.51	0.00
2.96	37.60	3.05	20.77	25.95	0.00	8.20	5.10	0.00
3.43	40.60	3.68	21.85	25.30	0.00	7.10	3.63	0.00
3.90	42.70	3.25	22.67	24.95	0.00	6.23	2.54	0.00
4.37	45.50	2.99	23.28	24.39	0.00	5.53	1.73	0.00
4.86	48.90	1.96	23.88	23.57	0.00	5.02	1.08	0.00
5.34	51.50	1.53	24.56	22.58	0.00	4.53	0.74	0.00
5.81	53.00	1.86	25.09	21.75	0.00	4.10	0.51	0.00
6.28	55.00	1.48	25.54	20.93	0.00	3.74	0.35	0.00
6.75	57.60	0.99	26.02	20.14	0.00	3.47	0.24	0.00
7.22	59.70	1.19	26.73	19.40	0.00	3.23	0.16	0.00
7.69	60.50	1.26	27.49	18.72	0.00	2.93	0.11	0.00
8.16	61.80	1.33	28.20	18.08	0.00	2.61	0.07	0.00
8.64	62.90	1.35	28.84	17.48	0.00	2.25	0.05	0.00
9.11	63.00	2.09	29.31	16.94	0.00	1.88	0.03	0.00
9.58	64.50	2.38	29.52	16.45	0.00	1.51	0.02	0.00
10.05	65.60	1.08	29.48	15.99	0.00	1.14	0.02	0.00
10.52	67.50	3.22	28.97	15.57	0.00	0.80	0.01	0.00
10.99	66.80	2.37	28.27	15.18	0.00	0.58	0.01	0.00
11.46	66.80	0.95	27.55	14.82	0.00	0.43	0.00	0.00
11.94	66.60	0.96	26.88	14.47	0.00	0.30	0.00	0.00
12.41	66.80	0.99	26.43	14.16	0.00	0.21	0.00	0.00
12.90	66.30	0.74	25.14	13.86	0.00	0.00	0.00	0.00
13.37	66.10	1.31	24.08	13.58	0.00	0.00	0.00	0.00
