# Distance = 60.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.45	18.90	9.78	-1.22	65.32	0.00	1.17	2096.34	0.00
1.34	58.30	10.50	-3.29	120.18	0.00	1.25	997.68	0.00
2.23	74.10	5.69	-5.38	137.43	0.00	1.33	691.26	0.00
3.12	119.00	4.27	-7.74	146.22	0.00	1.53	574.33	0.00
4.01	141.00	3.76	-9.28	157.77	0.00	1.89	548.02	0.00
4.90	195.00	4.54	-9.26	175.70	0.00	2.21	524.14	0.00
5.79	227.00	4.20	-9.05	199.06	0.00	2.25	483.52	0.00
6.69	246.00	4.24	-10.02	217.79	0.00	2.23	426.75	0.00
7.58	268.00	5.56	-11.62	228.47	0.00	2.31	376.92	0.00
8.47	283.00	2.96	-12.88	241.61	0.00	2.50	345.98	0.00
10.23	291.00	9.81	-12.78	260.92	0.00	2.79	282.74	0.00
12.06	310.00	4.74	-16.52	275.03	0.00	2.83	199.54	0.00
13.44	310.00	20.40	-19.41	277.98	0.00	3.62	164.72	0.00
15.18	310.00	16.10	-12.64	282.21	0.00	4.30	131.46	0.00
16.83	314.00	13.50	9.45	283.27	0.00	4.34	96.52	0.00
18.56	317.00	12.70	14.78	276.50	0.00	4.41	70.44	0.00
20.30	319.00	10.40	23.41	272.16	0.00	4.64	62.60	0.00
21.94	318.00	10.80	29.20	272.94	0.00	4.19	50.58	0.00
23.68	317.00	9.30	30.07	271.33	0.00	4.17	32.65	0.00
25.41	317.00	7.23	35.12	261.58	0.00	4.12	19.67	0.00
27.06	312.00	8.39	39.83	252.99	0.00	3.83	13.79	0.00
28.80	312.00	8.37	40.34	243.82	0.00	3.23	7.98	0.00
30.53	311.00	11.50	38.03	233.82	0.00	3.13	4.31	0.00
32.18	310.00	14.50	39.15	224.75	0.00	3.40	2.73	0.00
33.91	313.00	15.90	44.05	216.19	0.00	3.64	1.63	0.00
35.65	320.00	8.83	50.78	208.80	0.00	3.37	1.34	0.00
37.30	321.00	7.88	53.98	202.65	0.00	2.89	0.94	0.00
39.03	320.00	8.00	54.39	196.75	0.00	2.46	0.72	0.00
40.76	315.00	9.82	56.21	191.40	0.00	2.04	0.59	0.00
42.41	312.00	9.07	54.80	186.89	0.00	1.78	0.59	0.00
