# Distance = 59.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.28	11.90	7.89	0.73	6.23	0.00	6.62	68.00	0.00
0.87	34.80	7.89	2.57	17.64	0.00	6.68	60.24	0.00
1.46	58.50	8.68	4.52	27.33	0.00	6.70	50.99	0.00
2.05	81.50	14.20	6.47	35.15	0.00	6.67	39.39	0.00
2.35	91.80	17.50	7.42	37.71	0.00	6.64	33.19	0.00
4.76	114.00	8.68	14.92	45.07	0.00	6.82	10.80	0.00
7.86	116.00	8.68	30.58	41.16	0.00	5.78	3.01	0.00
8.70	117.00	16.60	33.65	40.08	0.00	4.71	2.22	0.00
10.18	118.00	51.90	36.33	38.12	0.00	2.84	1.34	0.00
10.47	118.00	40.30	36.43	37.77	0.00	2.52	1.24	0.00
