# Distance = 82.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.64	12.40	8.60	1.06	13.97	0.00	3.81	71.59	0.00
1.18	21.90	6.20	1.49	21.80	0.00	3.78	59.48	0.00
1.80	32.30	1.88	1.68	28.55	0.00	3.79	49.08	0.00
2.03	37.90	6.20	1.72	30.66	0.00	3.80	46.75	0.00
2.78	53.10	9.50	1.98	37.49	0.00	3.91	39.93	0.00
3.00	62.40	11.00	2.19	39.22	0.00	3.96	37.69	0.00
3.64	68.00	6.20	3.32	43.67	0.00	4.13	32.08	0.00
4.19	78.00	7.98	5.08	46.79	0.00	4.30	26.81	0.00
4.60	82.30	6.20	6.41	47.84	0.00	4.41	22.34	0.00
5.14	85.70	6.30	8.21	48.61	0.00	4.54	20.75	0.00
5.39	85.50	6.51	9.09	49.36	0.00	4.61	20.26	0.00
6.31	89.50	15.60	12.95	52.00	0.00	4.79	15.84	0.00
9.10	95.20	15.50	23.62	52.96	0.00	4.35	8.46	0.00
10.17	97.50	6.20	26.44	53.71	0.00	3.86	7.18	0.00
11.99	101.00	10.20	29.74	53.37	0.00	3.08	4.74	0.00
14.02	107.00	10.70	32.25	52.01	0.00	2.39	3.29	0.00
15.94	117.00	11.70	34.20	51.44	0.00	1.69	2.56	0.00
17.98	120.00	12.00	34.85	52.07	0.00	0.99	1.76	0.00
