# Distance = 3.91 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.85	10.30	0.20	-5.00	9.61	0.00	3.63	16.75	0.00
1.14	12.90	2.70	-3.23	11.99	0.00	4.14	14.92	0.00
1.42	16.40	1.80	1.63	13.84	0.00	4.12	13.07	0.00
1.71	18.60	2.10	4.08	15.28	0.00	4.19	11.58	0.00
1.99	19.80	2.00	5.52	16.80	0.00	3.97	10.80	0.00
2.28	26.10	0.60	6.36	17.73	0.00	3.92	9.24	0.00
2.55	27.70	2.70	7.28	18.77	0.00	3.84	8.42	0.00
2.84	29.70	2.60	8.08	19.36	0.00	3.69	7.37	0.00
3.13	33.00	3.40	8.63	19.89	0.00	3.59	6.93	0.00
3.41	34.80	1.20	9.10	20.25	0.00	3.49	5.88	0.00
3.70	35.00	0.90	9.15	20.12	0.00	3.34	5.69	0.00
3.98	39.00	10.20	8.66	20.48	0.00	3.35	5.87	0.00
4.26	35.90	5.40	9.26	21.25	0.00	3.78	6.08	0.00
4.55	40.00	4.10	11.04	22.76	0.00	3.77	6.50	0.00
4.84	38.70	1.40	12.29	24.61	0.00	3.79	5.76	0.00
5.12	41.80	0.50	13.35	25.34	0.00	3.66	4.60	0.00
5.41	42.90	0.40	14.11	25.75	0.00	3.64	4.30	0.00
5.68	44.40	1.70	14.88	26.47	0.00	3.60	4.03	0.00
5.97	46.10	1.30	15.70	27.11	0.00	3.62	3.42	0.00
6.26	49.00	0.90	16.92	27.38	0.00	3.71	2.76	0.00
6.54	51.90	0.60	18.46	27.31	0.00	3.61	2.14	0.00
6.83	53.10	2.10	19.59	26.76	0.00	3.41	1.67	0.00
7.10	54.00	0.50	20.36	26.24	0.00	3.27	1.55	0.00
7.39	55.90	1.10	21.27	26.00	0.00	3.20	1.54	0.00
7.68	58.80	3.60	22.37	25.86	0.00	3.03	1.40	0.00
7.96	57.30	4.60	23.21	25.73	0.00	2.83	1.25	0.00
8.25	54.00	9.00	23.94	25.60	0.00	2.57	1.12	0.00
8.52	63.80	12.00	24.13	25.48	0.00	2.32	1.02	0.00
8.81	60.50	6.20	24.23	25.41	0.00	2.24	0.92	0.00
9.10	61.00	5.70	24.79	25.39	0.00	2.19	0.83	0.00
9.38	66.00	1.30	25.42	25.47	0.00	2.14	0.75	0.00
9.67	65.20	3.40	26.49	25.81	0.00	2.07	0.67	0.00
9.96	67.10	4.70	27.62	24.79	0.00	1.90	0.00	0.00
10.23	67.50	9.30	28.87	23.94	0.00	1.78	0.00	0.00
