# Distance = 6.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.25	4.25	2.00	1.64	2.88	0.00	7.34	8.69	0.00
0.41	6.84	2.00	2.83	3.93	0.00	7.45	6.61	0.00
0.57	9.56	2.00	4.13	4.80	0.00	7.53	6.95	0.00
0.74	12.30	2.00	5.56	6.36	0.00	7.54	6.78	0.00
0.90	15.10	2.00	6.95	7.41	0.00	7.48	5.71	0.00
1.07	17.50	2.00	8.49	8.55	0.00	7.35	5.63	0.00
1.24	19.70	2.00	10.11	9.53	0.00	7.04	4.46	0.00
1.40	21.80	2.00	11.50	10.05	0.00	6.46	3.87	0.00
1.57	24.40	2.00	12.65	10.56	0.00	5.73	3.42	0.00
1.72	27.30	2.00	13.53	10.94	0.00	5.15	3.02	0.00
1.89	30.30	2.00	14.39	11.32	0.00	4.46	2.62	0.00
2.06	32.60	2.00	15.07	11.62	0.00	3.73	2.28	0.00
2.46	33.30	2.00	15.79	12.21	0.00	2.23	1.69	0.00
2.79	34.60	2.00	15.75	12.91	0.00	1.29	1.34	0.00
3.13	34.20	2.00	15.22	12.46	0.00	0.61	0.00	0.00
