# Distance = 127.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.33	175.00	13.60	-2.53	53.50	236.80	6.70	587.50	2991.90
2.34	237.00	3.65	-4.15	85.37	258.48	6.80	519.54	1233.00
3.33	247.00	3.81	-5.96	111.48	258.69	6.91	460.56	695.85
4.34	242.00	3.56	-8.37	134.00	255.32	7.15	407.28	384.39
5.35	240.00	4.20	-10.36	153.13	247.96	7.57	360.17	251.03
6.34	233.00	4.59	-11.68	169.21	242.98	8.16	319.28	149.16
7.34	233.00	4.63	-11.26	183.45	235.83	8.94	282.68	69.12
8.32	247.00	6.41	-7.66	193.74	226.67	9.66	232.63	32.44
9.34	248.00	7.64	9.57	199.83	216.70	10.42	213.56	14.68
10.38	242.00	9.05	18.30	208.17	206.98	10.99	190.68	6.55
11.36	252.00	12.50	25.59	212.76	198.54	11.35	162.63	3.07
12.34	245.00	8.72	32.28	214.90	190.81	11.43	147.37	1.44
13.32	247.00	4.44	38.50	218.50	183.83	11.25	142.41	0.68
14.30	238.00	9.29	44.06	224.94	177.48	10.79	133.44	0.32
15.47	249.00	9.98	49.56	232.80	170.69	10.01	116.56	0.13
16.35	250.00	6.15	53.12	235.83	166.06	9.30	100.42	0.06
17.92	253.00	6.96	57.97	239.42	158.63	7.84	85.77	0.02
19.10	258.00	15.40	60.12	242.68	153.66	6.69	73.17	0.01
22.52	254.00	6.51	60.66	241.90	141.52	4.05	36.85	0.00
26.05	256.00	7.73	59.07	226.35	131.58	2.93	17.58	0.00
29.48	255.00	8.50	57.66	210.05	123.68	1.98	9.74	0.00
33.00	244.00	5.75	54.51	196.20	116.89	1.69	7.72	0.00
36.43	246.00	4.24	56.08	186.62	111.25	1.63	6.57	0.00
