# Distance = 20.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.11	56.20	28.50	-0.42	10.33	44.15	6.04	655.22	4452.47
0.23	64.60	22.70	-0.70	20.24	75.69	6.11	599.52	2773.90
0.34	70.20	17.20	-0.90	28.32	90.09	6.18	552.64	1731.65
0.46	71.60	11.70	-1.04	36.18	97.29	6.24	505.66	1079.38
0.57	71.00	11.30	-1.13	42.64	98.40	6.30	466.11	777.25
0.69	69.00	9.37	-1.13	48.96	99.30	6.38	426.49	601.37
0.80	67.70	6.23	-1.01	54.15	100.36	6.44	393.14	459.37
0.92	66.90	4.00	-0.74	59.23	100.84	6.50	359.72	348.84
1.03	66.60	3.10	0.42	63.40	101.52	6.56	331.59	233.68
1.14	66.80	3.02	1.08	67.14	100.91	6.62	305.66	159.27
1.26	67.40	3.09	1.63	70.78	99.65	6.68	279.67	96.37
1.37	68.30	2.71	2.10	73.72	97.83	6.74	257.80	50.26
1.49	69.60	2.75	2.61	76.63	95.14	6.80	239.14	24.69
1.61	71.20	2.61	3.11	79.45	92.26	6.86	221.75	12.13
1.71	72.90	4.09	3.54	81.60	89.85	6.90	205.51	6.74
1.83	74.90	6.17	4.04	83.69	87.09	6.96	183.40	3.33
1.94	77.00	7.74	4.50	85.04	84.69	7.01	167.21	1.73
2.06	79.20	5.36	5.03	86.25	82.25	7.06	154.41	0.85
2.18	81.40	6.34	5.56	87.49	79.96	7.11	146.81	0.42
2.29	83.60	2.03	6.07	88.92	78.04	7.16	140.69	0.22
2.40	85.70	1.94	6.59	90.39	76.26	7.21	131.91	0.11
2.52	87.80	1.70	7.19	91.88	74.41	7.27	120.79	0.06
2.63	89.70	2.16	7.76	92.97	72.86	7.31	108.91	0.03
2.75	91.40	1.88	8.40	93.65	71.23	7.36	96.05	0.01
2.86	92.80	3.36	9.03	93.96	69.85	7.40	86.65	0.01
2.98	94.10	1.40	9.75	94.05	68.43	7.44	77.70	0.00
3.09	95.20	5.51	10.46	93.96	67.21	7.45	70.44	0.00
3.20	96.10	6.23	11.14	93.72	66.06	7.42	64.18	0.00
4.52	97.40	2.30	16.88	88.04	55.57	6.43	28.91	0.00
4.69	96.90	11.70	17.23	87.37	54.55	6.34	26.51	0.00
6.03	96.80	2.30	20.17	81.47	48.11	5.67	14.16	0.00
7.53	105.00	1.02	23.10	76.75	43.05	5.10	8.19	0.00
8.58	110.00	7.12	25.14	73.03	40.33	4.75	5.41	0.00
8.70	110.00	5.26	25.37	72.67	40.05	4.71	5.18	0.00
8.82	110.00	5.16	25.58	72.30	39.78	4.68	4.95	0.00
9.03	111.00	0.82	25.94	71.67	39.31	4.61	4.58	0.00
9.05	111.00	7.81	25.97	71.61	39.27	4.61	4.54	0.00
10.53	112.00	1.43	29.63	67.31	36.41	4.02	2.67	0.00
12.07	112.00	1.21	31.78	63.58	34.00	3.39	1.50	0.00
13.58	114.00	1.35	33.42	59.74	32.06	2.77	0.69	0.00
15.09	118.00	1.36	34.34	56.25	30.41	2.25	0.37	0.00
16.60	122.00	1.44	34.92	53.27	29.00	1.81	0.20	0.00
18.11	125.00	1.64	35.27	50.69	27.76	1.44	0.11	0.00
19.62	128.00	1.97	35.44	48.44	26.67	1.09	0.06	0.00
21.02	131.00	1.81	35.15	46.59	25.77	0.79	0.03	0.00
24.04	127.00	1.93	33.20	43.25	24.09	0.38	0.01	0.00
27.06	124.00	1.92	32.82	40.57	22.71	0.20	0.00	0.00
