# Distance = 0.98 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.12	6.48	2.60	-0.59	2.19	0.00	8.02	2.83	0.00
0.19	8.60	2.65	0.41	2.27	0.00	8.71	3.38	0.00
0.26	10.20	3.03	1.58	2.68	0.00	9.42	2.43	0.00
0.33	11.70	3.55	2.65	2.88	0.00	9.85	2.23	0.00
0.40	12.70	3.75	3.61	2.93	0.00	9.98	1.76	0.00
0.47	14.10	3.43	4.55	3.15	0.00	10.21	2.11	0.00
0.55	16.00	3.33	5.77	3.59	0.00	10.52	2.00	0.00
0.62	18.10	2.66	6.88	3.86	0.00	10.51	1.59	0.00
0.69	21.20	3.78	7.98	3.96	0.00	10.32	1.38	0.00
0.76	21.60	3.33	9.05	4.09	0.00	9.95	1.39	0.00
0.83	23.30	3.09	10.03	4.27	0.00	9.24	1.29	0.00
0.90	24.50	3.26	10.79	4.43	0.00	8.30	1.17	0.00
0.97	24.40	3.29	11.39	4.55	0.00	7.52	1.08	0.00
1.04	25.30	2.78	11.88	4.67	0.00	6.83	0.99	0.00
1.11	25.40	2.78	12.36	4.78	0.00	6.21	0.91	0.00
1.19	25.90	2.73	12.69	4.88	0.00	5.23	0.83	0.00
1.26	26.70	2.67	12.86	4.96	0.00	4.70	0.76	0.00
1.33	27.10	3.16	13.03	5.03	0.00	4.28	0.70	0.00
1.40	28.60	3.34	13.16	5.09	0.00	3.83	0.64	0.00
1.48	28.90	3.21	13.23	5.15	0.00	3.42	0.58	0.00
1.55	30.40	4.14	13.34	5.19	0.00	3.19	0.54	0.00
1.62	30.80	4.35	13.46	5.23	0.00	2.87	0.49	0.00
1.69	30.50	4.56	13.52	5.26	0.00	2.52	0.45	0.00
1.75	33.00	4.04	13.52	5.28	0.00	2.28	0.42	0.00
1.83	32.10	4.35	13.54	5.31	0.00	2.05	0.38	0.00
1.90	32.90	4.36	13.55	5.33	0.00	1.84	0.35	0.00
1.97	34.20	4.90	13.55	5.34	0.00	1.65	0.32	0.00
2.04	32.60	3.98	13.60	5.36	0.00	1.53	0.30	0.00
2.11	33.70	4.73	13.65	5.37	0.00	1.31	0.27	0.00
2.19	33.80	4.67	13.61	5.39	0.00	1.02	0.25	0.00
2.26	34.90	3.74	13.61	5.41	0.00	0.88	0.23	0.00
2.33	36.10	5.47	13.59	5.43	0.00	0.63	0.21	0.00
2.40	37.20	5.39	13.27	5.47	0.00	0.00	0.19	0.00
2.48	37.60	7.10	12.69	5.54	0.00	0.00	0.17	0.00
2.55	35.60	4.73	12.30	5.48	0.00	0.00	0.00	0.00
2.62	38.30	7.78	11.96	5.30	0.00	0.00	0.00	0.00
